epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.735,2.1311,1.82178,1.48604,0.65053,0.26646,0.47987,0.16142,2.29991,2.61381,1.62539,0.0668412,1.65877e-05,1.65877e-05
2,273.553,2.10921,1.69245,1.43058,0.59813,0.63652,0.6387,0.25611,2.05119,1.46522,1.42548,0.0335242,3.29251e-05,3.29251e-05
3,411.939,1.97718,1.43665,1.38203,0.66181,0.71622,0.73051,0.3011,2.03688,1.47135,1.50471,0.00020691,4.89326e-05,4.89326e-05
4,546.55,2.02648,1.52689,1.36002,0.76043,0.74212,0.77749,0.33262,2.00093,1.32041,1.43744,4.8515e-05,4.8515e-05,4.8515e-05
5,682.311,1.8987,1.30866,1.32114,0.78529,0.77861,0.797,0.34212,1.95632,1.28679,1.41678,4.802e-05,4.802e-05,4.802e-05
6,820.099,1.88049,1.23386,1.3063,0.75919,0.76804,0.77027,0.32107,2.00988,1.31233,1.42099,4.7525e-05,4.7525e-05,4.7525e-05
7,956.438,1.8608,1.1969,1.28712,0.79127,0.80067,0.78815,0.3379,1.93548,1.34433,1.38649,4.703e-05,4.703e-05,4.703e-05
8,1088.6,1.8382,1.1437,1.26858,0.7901,0.79337,0.78373,0.33096,1.95491,1.31835,1.40047,4.6535e-05,4.6535e-05,4.6535e-05
9,1222.07,1.83392,1.10709,1.26514,0.83687,0.8154,0.82093,0.35626,1.9049,1.20925,1.36709,4.604e-05,4.604e-05,4.604e-05
10,1363.22,1.80156,1.07351,1.27677,0.82252,0.80418,0.82827,0.3549,1.91878,1.27148,1.38311,4.5545e-05,4.5545e-05,4.5545e-05
11,1498.32,1.81922,1.0575,1.25293,0.82915,0.79987,0.82659,0.35799,1.92986,1.24273,1.37744,4.505e-05,4.505e-05,4.505e-05
12,1631.54,1.83917,1.08795,1.25149,0.79283,0.78396,0.78586,0.33571,1.938,1.33055,1.37257,4.4555e-05,4.4555e-05,4.4555e-05
13,1765.61,1.83186,1.05399,1.24703,0.81962,0.80604,0.82044,0.35845,1.90279,1.29738,1.34672,4.406e-05,4.406e-05,4.406e-05
14,1900.06,1.7894,1.02315,1.23803,0.81558,0.78904,0.81437,0.35477,1.91106,1.12699,1.35841,4.3565e-05,4.3565e-05,4.3565e-05
15,2034.15,1.7872,1.01551,1.23379,0.79009,0.77923,0.78229,0.32899,2.01067,1.23142,1.38888,4.307e-05,4.307e-05,4.307e-05
16,2167.48,1.81851,1.01384,1.24567,0.79473,0.78493,0.79866,0.33951,1.94729,1.28811,1.36603,4.2575e-05,4.2575e-05,4.2575e-05
17,2302.7,1.78635,0.99842,1.23962,0.8151,0.78596,0.79916,0.34443,1.99643,1.1803,1.3576,4.208e-05,4.208e-05,4.208e-05
18,2435.75,1.82407,1.01571,1.23984,0.80896,0.78931,0.81126,0.34351,1.96762,1.15882,1.3657,4.1585e-05,4.1585e-05,4.1585e-05
19,2568.52,1.784,0.98292,1.22235,0.80985,0.79344,0.80595,0.34362,1.94866,1.1992,1.34856,4.109e-05,4.109e-05,4.109e-05
20,2702.06,1.77269,0.98071,1.2298,0.78944,0.76564,0.77573,0.31279,2.05787,1.18634,1.41012,4.0595e-05,4.0595e-05,4.0595e-05
21,2836.94,1.77446,0.97448,1.23297,0.80631,0.78995,0.81066,0.33908,1.98366,1.15776,1.37734,4.01e-05,4.01e-05,4.01e-05
