epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.3,2.14446,1.86167,1.49799,0.39169,0.70288,0.52387,0.18149,2.26053,2.96102,1.61056,0.0668412,1.65877e-05,1.65877e-05
2,268.796,2.12091,1.70561,1.44646,0.56124,0.56251,0.56406,0.20996,2.17691,1.55935,1.48121,0.0335246,3.32462e-05,3.32462e-05
3,404.003,1.97299,1.42892,1.38447,0.74914,0.72803,0.77074,0.32674,1.96577,1.35587,1.44516,0.00020785,4.98722e-05,4.98722e-05
4,535.951,2.01976,1.49235,1.36299,0.7713,0.76689,0.79637,0.34326,1.95947,1.38721,1.42112,4.98902e-05,4.98902e-05,4.98902e-05
5,669.144,1.90129,1.29569,1.32233,0.73571,0.72479,0.7742,0.33214,2.00414,1.34598,1.42544,4.98048e-05,4.98048e-05,4.98048e-05
6,805.468,1.8918,1.23993,1.31215,0.71435,0.73599,0.75442,0.32226,2.00882,1.37152,1.41715,4.96953e-05,4.96953e-05,4.96953e-05
7,939.807,1.85846,1.17604,1.29015,0.74544,0.73601,0.77816,0.33522,1.97701,1.33098,1.40205,4.95616e-05,4.95616e-05,4.95616e-05
8,1069.95,1.84201,1.13854,1.27852,0.74143,0.7817,0.77157,0.33098,1.95816,1.37031,1.40927,4.94039e-05,4.94039e-05,4.94039e-05
9,1201.04,1.82932,1.09492,1.26821,0.7699,0.76792,0.8053,0.35185,1.9661,1.18971,1.37925,4.92224e-05,4.92224e-05,4.92224e-05
10,1338.68,1.80146,1.07059,1.28198,0.72143,0.74777,0.76263,0.32508,2.05844,1.39174,1.45242,4.90173e-05,4.90173e-05,4.90173e-05
11,1471.31,1.82241,1.05143,1.26152,0.774,0.76954,0.79956,0.34226,1.99295,1.30837,1.40298,4.87886e-05,4.87886e-05,4.87886e-05
12,1603.33,1.83897,1.08198,1.26082,0.7146,0.71919,0.72683,0.30133,2.10319,1.43138,1.44391,4.85368e-05,4.85368e-05,4.85368e-05
13,1733.74,1.82173,1.03223,1.25028,0.7515,0.7474,0.75482,0.31684,1.99748,1.42108,1.40137,4.8262e-05,4.8262e-05,4.8262e-05
14,1865.69,1.79539,1.0048,1.24664,0.81272,0.76158,0.80883,0.34021,1.99461,1.1251,1.40223,4.79644e-05,4.79644e-05,4.79644e-05
15,1996.84,1.79374,1.00007,1.23782,0.71421,0.69712,0.72095,0.2888,2.1766,1.30198,1.44909,4.76445e-05,4.76445e-05,4.76445e-05
16,2128.68,1.82002,1.00005,1.24773,0.7799,0.74635,0.76942,0.32209,2.03245,1.30359,1.38752,4.73024e-05,4.73024e-05,4.73024e-05
17,2263.16,1.80589,0.99792,1.24816,0.71941,0.71157,0.71854,0.29072,2.12224,1.2499,1.39693,4.69386e-05,4.69386e-05,4.69386e-05
18,2393.34,1.82127,1.00413,1.23927,0.7692,0.71825,0.75816,0.3055,2.12894,1.22322,1.41604,4.65534e-05,4.65534e-05,4.65534e-05
19,2524.55,1.80266,0.97673,1.23236,0.79789,0.76019,0.78807,0.34088,1.99122,1.14666,1.35595,4.61471e-05,4.61471e-05,4.61471e-05
