epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.804,2.13351,1.85714,1.49506,0.46934,0.21501,0.25684,0.06886,2.73112,2.92212,1.74796,0.066828,3.31754e-06,3.31754e-06
2,273.932,2.15873,1.72983,1.45743,0.48724,0.47008,0.45673,0.16472,2.26763,1.64098,1.55927,0.0334979,6.58503e-06,6.58503e-06
3,411.254,2.05568,1.68493,1.41237,0.72982,0.70212,0.74,0.30717,2.03012,1.37229,1.48687,0.000167764,9.78652e-06,9.78652e-06
4,544.904,2.00255,1.54518,1.34651,0.70562,0.70911,0.75338,0.31207,1.99633,1.35017,1.46371,9.703e-06,9.703e-06,9.703e-06
5,680.267,1.92343,1.44849,1.33399,0.75621,0.73265,0.77142,0.31856,2.01556,1.34301,1.4417,9.604e-06,9.604e-06,9.604e-06
6,817.365,1.89517,1.36146,1.31999,0.73229,0.70467,0.73661,0.29627,2.07027,1.41079,1.45876,9.505e-06,9.505e-06,9.505e-06
7,954.054,1.88786,1.3064,1.31041,0.75453,0.73738,0.76861,0.31363,2.04029,1.31221,1.44199,9.406e-06,9.406e-06,9.406e-06
8,1086.91,1.88644,1.28868,1.30269,0.746,0.72784,0.75441,0.30337,2.06044,1.30293,1.44881,9.307e-06,9.307e-06,9.307e-06
9,1219.53,1.87305,1.25465,1.29454,0.73267,0.72148,0.73714,0.28941,2.09858,1.31469,1.46095,9.208e-06,9.208e-06,9.208e-06
10,1360.18,1.84949,1.24175,1.31326,0.72859,0.71465,0.73147,0.28426,2.11206,1.34318,1.47197,9.109e-06,9.109e-06,9.109e-06
11,1495.52,1.87214,1.23659,1.28863,0.71234,0.70385,0.70363,0.26466,2.16443,1.37334,1.48764,9.01e-06,9.01e-06,9.01e-06
12,1629.96,1.87747,1.22805,1.29298,0.71196,0.70233,0.6991,0.26282,2.16723,1.35902,1.48889,8.911e-06,8.911e-06,8.911e-06
13,1762.15,1.84901,1.18682,1.27948,0.70171,0.69204,0.6851,0.25157,2.20962,1.41787,1.5195,8.812e-06,8.812e-06,8.812e-06
14,1898.48,1.83706,1.18488,1.28261,0.72216,0.71154,0.70479,0.26472,2.17354,1.36132,1.49586,8.713e-06,8.713e-06,8.713e-06
15,2033.52,1.82474,1.16962,1.27712,0.72243,0.70495,0.70395,0.26505,2.17338,1.37894,1.50207,8.614e-06,8.614e-06,8.614e-06
