epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.506,2.14527,1.8657,1.50446,0.25861,0.11138,0.09983,0.02491,2.96006,3.03518,1.86789,0.0668346,9.95261e-06,9.95261e-06
2,269.08,2.17652,1.73889,1.47805,0.6284,0.59328,0.62512,0.24714,2.16124,1.46927,1.44542,0.0335111,1.97551e-05,1.97551e-05
3,407.046,2.03106,1.54217,1.40393,0.7631,0.71429,0.76106,0.31557,2.03392,1.37263,1.48309,0.000187337,2.93595e-05,2.93595e-05
4,541.067,2.00675,1.56194,1.35556,0.77527,0.73572,0.778,0.32578,1.99271,1.39313,1.43345,2.9109e-05,2.9109e-05,2.9109e-05
5,675.401,1.9124,1.39,1.32458,0.79528,0.76571,0.80151,0.33361,1.98593,1.30652,1.42027,2.8812e-05,2.8812e-05,2.8812e-05
6,809.984,1.89162,1.29479,1.31308,0.78253,0.7606,0.78871,0.33363,1.97943,1.30606,1.40362,2.8515e-05,2.8515e-05,2.8515e-05
7,943.761,1.86933,1.22828,1.29397,0.79179,0.77474,0.80378,0.33843,1.96626,1.27723,1.39734,2.8218e-05,2.8218e-05,2.8218e-05
8,1073.95,1.85658,1.19706,1.27952,0.80476,0.78464,0.8096,0.33748,1.97114,1.30976,1.40041,2.7921e-05,2.7921e-05,2.7921e-05
9,1204.27,1.84323,1.15709,1.2711,0.81879,0.80187,0.83459,0.35879,1.95902,1.15032,1.38238,2.7624e-05,2.7624e-05,2.7624e-05
10,1341.47,1.81222,1.14338,1.28596,0.82857,0.78553,0.82766,0.35727,1.95004,1.15431,1.37997,2.7327e-05,2.7327e-05,2.7327e-05
11,1472.77,1.83141,1.12337,1.26287,0.82081,0.80083,0.83495,0.35724,1.9627,1.14682,1.37244,2.703e-05,2.703e-05,2.703e-05
12,1603.66,1.83777,1.11885,1.26491,0.78584,0.76222,0.78579,0.32986,2.0383,1.18974,1.40486,2.6733e-05,2.6733e-05,2.6733e-05
13,1732.36,1.82941,1.091,1.25586,0.79099,0.76855,0.80017,0.33921,1.98659,1.15689,1.37994,2.6436e-05,2.6436e-05,2.6436e-05
14,1863.79,1.81907,1.09041,1.26378,0.79599,0.76841,0.81895,0.35008,1.98018,1.13766,1.37224,2.6139e-05,2.6139e-05,2.6139e-05
15,1993.91,1.80003,1.0714,1.25074,0.7811,0.75692,0.78868,0.32825,2.02192,1.16828,1.37507,2.5842e-05,2.5842e-05,2.5842e-05
16,2124.77,1.83008,1.07203,1.26103,0.79292,0.778,0.8105,0.34434,1.97984,1.13659,1.37343,2.5545e-05,2.5545e-05,2.5545e-05
17,2258.89,1.81032,1.06137,1.25901,0.6882,0.66338,0.68258,0.25201,2.27132,1.33715,1.45732,2.5248e-05,2.5248e-05,2.5248e-05
18,2389.29,1.83231,1.06283,1.25294,0.77406,0.75209,0.78816,0.32143,2.04819,1.18354,1.37716,2.4951e-05,2.4951e-05,2.4951e-05
19,2519,1.79144,1.03279,1.23841,0.78718,0.76535,0.8049,0.33548,2.0034,1.15159,1.35505,2.4654e-05,2.4654e-05,2.4654e-05
