epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.008,2.13197,1.81329,1.51146,0.55287,0.50672,0.51009,0.18453,2.26563,2.01279,1.62962,0.0668412,1.65877e-05,1.65877e-05
2,278.125,2.12335,1.6846,1.45549,0.70044,0.64868,0.69526,0.27952,2.04499,1.37824,1.454,0.0335242,3.29251e-05,3.29251e-05
3,417.703,1.98423,1.4432,1.38804,0.6756,0.75913,0.76624,0.3201,1.99288,1.46644,1.46688,0.00020691,4.89326e-05,4.89326e-05
4,550.376,2.03772,1.53741,1.3738,0.76114,0.73216,0.77655,0.32469,2.04696,1.51277,1.45344,4.8515e-05,4.8515e-05,4.8515e-05
5,684.784,1.90606,1.31982,1.32593,0.80786,0.79582,0.80262,0.34248,1.99339,1.25759,1.43022,4.802e-05,4.802e-05,4.802e-05
6,820.82,1.8839,1.23756,1.31374,0.79615,0.78476,0.77068,0.32057,2.03926,1.29156,1.43828,4.7525e-05,4.7525e-05,4.7525e-05
7,956.125,1.84925,1.1702,1.28969,0.81136,0.80027,0.79334,0.32674,2.00983,1.25656,1.42559,4.703e-05,4.703e-05,4.703e-05
8,1088.01,1.84178,1.13827,1.27746,0.78883,0.80445,0.77226,0.31163,2.03251,1.3351,1.43985,4.6535e-05,4.6535e-05,4.6535e-05
9,1219.01,1.82399,1.09441,1.26834,0.79896,0.80602,0.77687,0.32199,2.00201,1.25178,1.41372,4.604e-05,4.604e-05,4.604e-05
10,1358.4,1.79809,1.07521,1.28743,0.81674,0.81152,0.81441,0.34208,2.0049,1.204,1.43151,4.5545e-05,4.5545e-05,4.5545e-05
11,1491.67,1.8152,1.04846,1.26312,0.80274,0.81586,0.78724,0.32662,1.99682,1.18351,1.41553,4.505e-05,4.505e-05,4.505e-05
12,1623.89,1.82586,1.04631,1.26515,0.76814,0.78028,0.73231,0.30011,2.08472,1.31235,1.45625,4.4555e-05,4.4555e-05,4.4555e-05
13,1756.15,1.79612,1.03497,1.24687,0.79172,0.81017,0.78405,0.33268,1.95573,1.33453,1.40261,4.406e-05,4.406e-05,4.406e-05
14,1889.03,1.7716,0.99387,1.25316,0.82356,0.79208,0.82618,0.34715,1.96954,1.17428,1.4122,4.3565e-05,4.3565e-05,4.3565e-05
15,2020.98,1.77384,0.99872,1.24656,0.82145,0.78978,0.80232,0.34877,1.93736,1.09927,1.37636,4.307e-05,4.307e-05,4.307e-05
16,2150.8,1.77106,0.99895,1.24132,0.80409,0.77473,0.80912,0.34308,1.96681,1.13855,1.39461,4.2575e-05,4.2575e-05,4.2575e-05
17,2284.98,1.77267,0.9785,1.24618,0.80046,0.7587,0.80421,0.35058,1.9654,1.13588,1.36916,4.208e-05,4.208e-05,4.208e-05
18,2415.92,1.81429,0.99531,1.24408,0.78046,0.74555,0.79939,0.35229,1.94465,1.12537,1.37855,4.1585e-05,4.1585e-05,4.1585e-05
19,2546.87,1.7647,0.9758,1.22644,0.79201,0.74966,0.8111,0.36485,1.91093,1.10316,1.35498,4.109e-05,4.109e-05,4.109e-05
20,2680.26,1.7663,0.96569,1.23539,0.75257,0.73399,0.7237,0.29122,2.11263,1.25319,1.4266,4.0595e-05,4.0595e-05,4.0595e-05
21,2814.28,1.82074,0.98098,1.2617,0.81391,0.76293,0.81842,0.35239,1.98713,1.12126,1.38242,4.01e-05,4.01e-05,4.01e-05
22,2947.71,1.74957,0.94858,1.23182,0.81104,0.7697,0.83285,0.37937,1.89774,1.08172,1.34028,3.9605e-05,3.9605e-05,3.9605e-05
23,3081.34,1.7725,0.96044,1.23971,0.77906,0.74305,0.78794,0.33041,2.04649,1.17818,1.38754,3.911e-05,3.911e-05,3.911e-05
24,3213.34,1.77679,0.9464,1.23062,0.76596,0.75361,0.78022,0.3284,2.00824,1.17812,1.36641,3.8615e-05,3.8615e-05,3.8615e-05
25,3346.04,1.74871,0.93909,1.22543,0.79585,0.78024,0.81107,0.35923,1.9336,1.14624,1.3443,3.812e-05,3.812e-05,3.812e-05
26,3479.3,1.73954,0.933,1.21991,0.77588,0.77294,0.76956,0.33215,1.98424,1.25877,1.36011,3.7625e-05,3.7625e-05,3.7625e-05
27,3611.45,1.73097,0.92275,1.2251,0.80393,0.76962,0.82396,0.36582,1.91776,1.11333,1.33904,3.713e-05,3.713e-05,3.713e-05
28,3743.79,1.75599,0.92792,1.23037,0.80255,0.7697,0.82032,0.37297,1.88422,1.12606,1.32035,3.6635e-05,3.6635e-05,3.6635e-05
29,3876.98,1.71934,0.92859,1.22023,0.78609,0.76822,0.81297,0.35561,1.93781,1.14,1.3386,3.614e-05,3.614e-05,3.614e-05
30,4007.66,1.74629,0.94337,1.22501,0.77803,0.74515,0.78726,0.32823,2.02331,1.20278,1.38065,3.5645e-05,3.5645e-05,3.5645e-05
31,4139.06,1.72355,0.91954,1.21706,0.79722,0.78952,0.83673,0.37806,1.89011,1.12748,1.33065,3.515e-05,3.515e-05,3.515e-05
