epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.401,2.13468,1.84525,1.49557,0.46055,0.39477,0.37707,0.11008,2.52814,2.28895,1.73002,0.0668346,9.95261e-06,9.95261e-06
2,276.683,2.15096,1.72944,1.44965,0.55442,0.53011,0.53246,0.19996,2.3152,1.71047,1.58763,0.0335111,1.97551e-05,1.97551e-05
3,415.976,2.02078,1.50462,1.39778,0.76722,0.71677,0.77925,0.32455,1.99149,1.4101,1.47189,0.000187337,2.93595e-05,2.93595e-05
4,549.352,1.99816,1.51932,1.34991,0.73848,0.72982,0.77567,0.32851,2.00675,1.4471,1.42955,2.9109e-05,2.9109e-05,2.9109e-05
5,686.123,1.89947,1.34684,1.31908,0.75159,0.76335,0.79404,0.33196,2.01462,1.44422,1.44951,2.8812e-05,2.8812e-05,2.8812e-05
6,824.349,1.88672,1.26097,1.31177,0.75846,0.76041,0.79231,0.33511,2.00429,1.33177,1.42692,2.8515e-05,2.8515e-05,2.8515e-05
7,959.725,1.86407,1.20087,1.29409,0.78621,0.77334,0.80923,0.33221,1.99076,1.29991,1.43241,2.8218e-05,2.8218e-05,2.8218e-05
8,1092.55,1.85006,1.17428,1.28182,0.76451,0.77235,0.79709,0.322,2.00727,1.3569,1.43932,2.7921e-05,2.7921e-05,2.7921e-05
9,1225.24,1.8404,1.13975,1.27521,0.7947,0.78283,0.82284,0.34592,1.98649,1.17706,1.40781,2.7624e-05,2.7624e-05,2.7624e-05
10,1365.34,1.80977,1.12491,1.2892,0.80232,0.78526,0.82361,0.3359,2.00963,1.19244,1.42428,2.7327e-05,2.7327e-05,2.7327e-05
11,1498.61,1.82778,1.10492,1.26307,0.79983,0.77847,0.81943,0.33635,2.01003,1.19564,1.4137,2.703e-05,2.703e-05,2.703e-05
12,1630.57,1.8314,1.09381,1.26581,0.71955,0.70198,0.72638,0.292,2.13482,1.32611,1.47133,2.6733e-05,2.6733e-05,2.6733e-05
13,1763.9,1.82624,1.0819,1.25694,0.80604,0.77279,0.81161,0.34669,1.97213,1.2826,1.40091,2.6436e-05,2.6436e-05,2.6436e-05
14,1897.29,1.79942,1.06747,1.26115,0.80839,0.72411,0.77898,0.33271,2.02698,1.20077,1.43476,2.6139e-05,2.6139e-05,2.6139e-05
15,2029.85,1.79203,1.06044,1.25214,0.80056,0.76678,0.8093,0.34909,2.00385,1.18495,1.39505,2.5842e-05,2.5842e-05,2.5842e-05
16,2162.39,1.79643,1.03866,1.2497,0.79574,0.77592,0.81167,0.3541,1.96439,1.18235,1.38463,2.5545e-05,2.5545e-05,2.5545e-05
17,2298.41,1.79737,1.03907,1.25598,0.70666,0.67694,0.70714,0.2726,2.13269,1.36091,1.42198,2.5248e-05,2.5248e-05,2.5248e-05
18,2430.7,1.82573,1.03781,1.24679,0.79539,0.75238,0.78953,0.32473,2.03213,1.22206,1.39316,2.4951e-05,2.4951e-05,2.4951e-05
19,2564.43,1.79023,1.0145,1.23811,0.8314,0.75982,0.81331,0.35331,1.96566,1.20954,1.36603,2.4654e-05,2.4654e-05,2.4654e-05
20,2698.39,1.77845,1.01519,1.24288,0.73671,0.69535,0.72712,0.27462,2.13502,1.31346,1.42246,2.4357e-05,2.4357e-05,2.4357e-05
21,2833.76,1.7862,1.01497,1.24835,0.78122,0.7212,0.76804,0.32114,1.99905,1.2481,1.3782,2.406e-05,2.406e-05,2.406e-05
22,2968.43,1.74941,0.99043,1.23571,0.77228,0.71375,0.7574,0.30483,2.03718,1.2264,1.39402,2.3763e-05,2.3763e-05,2.3763e-05
23,3101.68,1.7627,1.01001,1.23976,0.76963,0.72261,0.75986,0.30568,2.04632,1.24243,1.38447,2.3466e-05,2.3466e-05,2.3466e-05
24,3234.75,1.77476,0.99529,1.23579,0.77402,0.71714,0.75657,0.31313,2.00442,1.24929,1.37252,2.3169e-05,2.3169e-05,2.3169e-05
25,3368.2,1.73823,0.97965,1.22208,0.7729,0.71946,0.75786,0.29871,2.05222,1.27465,1.39046,2.2872e-05,2.2872e-05,2.2872e-05
26,3501.35,1.74748,0.98844,1.22641,0.77639,0.72974,0.75907,0.29354,2.08975,1.21912,1.40547,2.2575e-05,2.2575e-05,2.2575e-05
