epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.615,2.13995,1.86216,1.49904,0.71966,0.38628,0.54811,0.20841,2.22638,2.39827,1.62214,0.0668313,6.63507e-06,6.63507e-06
2,275.64,2.1547,1.73237,1.44844,0.55792,0.55841,0.55758,0.21619,2.16802,1.54369,1.47257,0.0335045,1.31701e-05,1.31701e-05
3,416.415,2.04518,1.57291,1.40464,0.73424,0.70667,0.75032,0.31007,2.02796,1.39239,1.4829,0.000177551,1.9573e-05,1.9573e-05
4,552.749,2.01023,1.53655,1.35227,0.73133,0.73342,0.77128,0.32053,2.02279,1.49386,1.45587,1.9406e-05,1.9406e-05,1.9406e-05
5,689.548,1.90217,1.37491,1.32176,0.75609,0.76182,0.78905,0.32272,2.02268,1.36678,1.45679,1.9208e-05,1.9208e-05,1.9208e-05
6,827.317,1.88709,1.29043,1.31193,0.73734,0.74501,0.76023,0.31517,2.03481,1.34166,1.4506,1.901e-05,1.901e-05,1.901e-05
7,965.442,1.87225,1.23556,1.29754,0.7711,0.77239,0.7981,0.32671,2.03879,1.28717,1.45839,1.8812e-05,1.8812e-05,1.8812e-05
8,1098.78,1.86377,1.21292,1.29078,0.76084,0.76845,0.78838,0.32277,2.05021,1.2719,1.46575,1.8614e-05,1.8614e-05,1.8614e-05
9,1233.63,1.85006,1.17492,1.28193,0.75975,0.76049,0.77661,0.32562,2.04573,1.23614,1.44851,1.8416e-05,1.8416e-05,1.8416e-05
10,1374.98,1.82033,1.15051,1.30012,0.76901,0.75893,0.78225,0.32764,2.04934,1.2521,1.45008,1.8218e-05,1.8218e-05,1.8218e-05
11,1510.43,1.83452,1.13147,1.27107,0.74763,0.74457,0.75809,0.31112,2.10349,1.30172,1.46438,1.802e-05,1.802e-05,1.802e-05
12,1644.25,1.84121,1.12163,1.27173,0.6909,0.67198,0.68005,0.26214,2.24836,1.39043,1.52045,1.7822e-05,1.7822e-05,1.7822e-05
13,1777.81,1.86183,1.11362,1.27625,0.77146,0.75426,0.78491,0.32583,2.05245,1.28934,1.42893,1.7624e-05,1.7624e-05,1.7624e-05
14,1913.33,1.81456,1.1082,1.26774,0.75515,0.72437,0.76334,0.31318,2.10464,1.22447,1.4455,1.7426e-05,1.7426e-05,1.7426e-05
15,2049.35,1.80703,1.08744,1.26122,0.72333,0.70297,0.72131,0.27914,2.17135,1.33277,1.46689,1.7228e-05,1.7228e-05,1.7228e-05
16,2183.6,1.84355,1.1092,1.27439,0.74873,0.72046,0.75721,0.30917,2.09563,1.26735,1.43665,1.703e-05,1.703e-05,1.703e-05
17,2322.49,1.805,1.06733,1.26329,0.63195,0.59669,0.58845,0.20435,2.43757,1.54337,1.58456,1.6832e-05,1.6832e-05,1.6832e-05
18,2457.82,1.81955,1.07364,1.25319,0.72351,0.67936,0.70219,0.26998,2.20047,1.36818,1.48451,1.6634e-05,1.6634e-05,1.6634e-05
19,2593.44,1.79607,1.05312,1.24378,0.74274,0.71636,0.73912,0.2909,2.13095,1.3022,1.44808,1.6436e-05,1.6436e-05,1.6436e-05
20,2730.32,1.7751,1.04667,1.24466,0.70228,0.67231,0.67896,0.25021,2.2599,1.40077,1.50608,1.6238e-05,1.6238e-05,1.6238e-05
21,2866.5,1.78161,1.04256,1.24702,0.7183,0.68538,0.70237,0.26601,2.20826,1.3592,1.48749,1.604e-05,1.604e-05,1.604e-05
22,3002.95,1.75791,1.02116,1.23779,0.73302,0.69935,0.71789,0.27867,2.16393,1.32522,1.47106,1.5842e-05,1.5842e-05,1.5842e-05
