epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.52,2.15012,1.8804,1.49356,0.53003,0.19196,0.33518,0.11429,2.26729,2.89487,1.60733,0.0668313,6.63507e-06,6.63507e-06
2,272.593,2.15278,1.76842,1.44056,0.62899,0.58216,0.62361,0.25065,1.99254,1.46821,1.42092,0.0335045,1.31701e-05,1.31701e-05
3,409.512,2.0189,1.56904,1.39612,0.63923,0.71264,0.69804,0.28654,1.94769,1.40635,1.43438,0.000177551,1.9573e-05,1.9573e-05
4,543.733,2.02557,1.55082,1.36151,0.70868,0.69648,0.73613,0.29722,1.98411,1.51485,1.44696,1.9406e-05,1.9406e-05,1.9406e-05
5,677.837,1.92774,1.40656,1.3268,0.71473,0.7479,0.76649,0.30781,1.98435,1.32931,1.42877,1.9208e-05,1.9208e-05,1.9208e-05
6,815.91,1.92799,1.35904,1.32432,0.71501,0.73764,0.76139,0.30988,1.97145,1.44956,1.42232,1.901e-05,1.901e-05,1.901e-05
7,950.221,1.89883,1.30135,1.30889,0.7225,0.74651,0.76274,0.30236,2.00509,1.35204,1.44458,1.8812e-05,1.8812e-05,1.8812e-05
8,1081.76,1.8935,1.28397,1.30099,0.75384,0.74803,0.77849,0.31403,1.98427,1.28922,1.42872,1.8614e-05,1.8614e-05,1.8614e-05
9,1213.82,1.87668,1.23692,1.29244,0.76488,0.75142,0.79071,0.32989,1.9508,1.21358,1.39282,1.8416e-05,1.8416e-05,1.8416e-05
10,1352.02,1.83857,1.21037,1.30917,0.79203,0.73655,0.79157,0.33143,1.94469,1.21228,1.38761,1.8218e-05,1.8218e-05,1.8218e-05
11,1484.35,1.85963,1.18963,1.2828,0.78638,0.72531,0.7748,0.32264,1.96439,1.23866,1.38201,1.802e-05,1.802e-05,1.802e-05
12,1615.31,1.85642,1.17268,1.27879,0.76058,0.70017,0.73524,0.29612,2.05299,1.2645,1.40909,1.7822e-05,1.7822e-05,1.7822e-05
13,1746.94,1.84669,1.14806,1.27051,0.79799,0.7242,0.77724,0.32418,1.97629,1.22763,1.37751,1.7624e-05,1.7624e-05,1.7624e-05
14,1878.48,1.83438,1.14448,1.27505,0.78877,0.7189,0.78445,0.33619,1.95448,1.20471,1.37126,1.7426e-05,1.7426e-05,1.7426e-05
15,2010.21,1.82154,1.12564,1.26971,0.72713,0.67915,0.71031,0.27913,2.08678,1.28855,1.41406,1.7228e-05,1.7228e-05,1.7228e-05
16,2140.93,1.85358,1.12641,1.27926,0.74919,0.68503,0.7334,0.29727,2.01235,1.27898,1.39012,1.703e-05,1.703e-05,1.703e-05
17,2275.02,1.84204,1.11849,1.27888,0.5982,0.55169,0.54628,0.19237,2.30824,1.48942,1.47074,1.6832e-05,1.6832e-05,1.6832e-05
18,2406,1.84814,1.1174,1.26582,0.67267,0.62772,0.63945,0.24141,2.16006,1.38169,1.43272,1.6634e-05,1.6634e-05,1.6634e-05
19,2537.51,1.83069,1.10769,1.25982,0.71218,0.64393,0.6889,0.27886,2.03785,1.32297,1.38144,1.6436e-05,1.6436e-05,1.6436e-05
20,2670.48,1.80293,1.09222,1.2592,0.64803,0.60909,0.62273,0.235,2.16375,1.39083,1.42035,1.6238e-05,1.6238e-05,1.6238e-05
21,2804.17,1.81923,1.09731,1.26764,0.62066,0.59452,0.59234,0.22011,2.1777,1.41297,1.42859,1.604e-05,1.604e-05,1.604e-05
22,2937.58,1.78738,1.06607,1.25252,0.66937,0.61792,0.64371,0.25246,2.06639,1.3533,1.39103,1.5842e-05,1.5842e-05,1.5842e-05
23,3070.98,1.79113,1.07028,1.25465,0.65704,0.61672,0.63159,0.24118,2.16012,1.35438,1.42404,1.5644e-05,1.5644e-05,1.5644e-05
24,3202.95,1.81437,1.06426,1.25692,0.67553,0.63407,0.65899,0.26264,2.02913,1.32846,1.37701,1.5446e-05,1.5446e-05,1.5446e-05
25,3335.17,1.77864,1.05039,1.24389,0.59838,0.60306,0.58089,0.21444,2.19257,1.39175,1.43566,1.5248e-05,1.5248e-05,1.5248e-05
26,3466.79,1.7777,1.04999,1.23986,0.64778,0.62697,0.63507,0.23962,2.16301,1.33937,1.42213,1.505e-05,1.505e-05,1.505e-05
27,3599.08,1.77242,1.02605,1.24473,0.63267,0.62955,0.61684,0.23188,2.15529,1.34503,1.42963,1.4852e-05,1.4852e-05,1.4852e-05
28,3731.91,1.7866,1.02379,1.24603,0.66636,0.64532,0.655,0.2538,2.07514,1.31686,1.39373,1.4654e-05,1.4654e-05,1.4654e-05
29,3864.85,1.76121,1.01562,1.23626,0.65337,0.63482,0.63734,0.23737,2.18037,1.33314,1.43601,1.4456e-05,1.4456e-05,1.4456e-05
