epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.542,2.13147,1.83148,1.49813,0.53956,0.31132,0.4041,0.14176,2.23171,2.97826,1.59276,0.0668346,9.95261e-06,9.95261e-06
2,273.142,2.14063,1.72375,1.44666,0.56184,0.60983,0.58084,0.22284,2.1373,1.55609,1.48109,0.0335111,1.97551e-05,1.97551e-05
3,410.062,2.015,1.49391,1.39896,0.72882,0.70727,0.76287,0.32136,1.9715,1.33268,1.46654,0.000187337,2.93595e-05,2.93595e-05
4,542.46,1.99725,1.531,1.35492,0.78208,0.72596,0.78653,0.32907,2.00883,1.35209,1.43998,2.9109e-05,2.9109e-05,2.9109e-05
5,676.572,1.89945,1.34112,1.32026,0.80683,0.7613,0.80849,0.34099,1.9659,1.31135,1.43072,2.8812e-05,2.8812e-05,2.8812e-05
6,810.708,1.88557,1.26012,1.31276,0.79162,0.763,0.80171,0.33735,1.98545,1.28347,1.4252,2.8515e-05,2.8515e-05,2.8515e-05
7,944.619,1.86473,1.20256,1.29462,0.80497,0.77056,0.81187,0.34266,1.97428,1.28162,1.42207,2.8218e-05,2.8218e-05,2.8218e-05
8,1075.88,1.85051,1.17411,1.27997,0.79341,0.77974,0.80488,0.33846,1.98868,1.27583,1.43271,2.7921e-05,2.7921e-05,2.7921e-05
9,1206.26,1.8448,1.13975,1.2749,0.80534,0.77742,0.81772,0.34907,1.99229,1.17831,1.42216,2.7624e-05,2.7624e-05,2.7624e-05
10,1343.9,1.81007,1.1211,1.28976,0.83198,0.78663,0.82951,0.35149,1.99213,1.14099,1.4246,2.7327e-05,2.7327e-05,2.7327e-05
11,1476.59,1.83073,1.10876,1.26583,0.80836,0.78796,0.82754,0.35747,1.97725,1.15986,1.40281,2.703e-05,2.703e-05,2.703e-05
12,1608.44,1.83085,1.09878,1.26574,0.73204,0.70056,0.7297,0.29175,2.14467,1.3129,1.48374,2.6733e-05,2.6733e-05,2.6733e-05
