epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.455,1.98226,1.47547,1.45308,0.66072,0.53136,0.5326,0.12951,2.7626,1.45157,1.99397,0.0667361,6.65411e-06,6.65411e-06
2,506.13,1.96171,1.317,1.38811,0.74208,0.71708,0.74572,0.22008,2.39965,1.24363,1.68452,0.0334093,1.31889e-05,1.31889e-05
3,750.739,1.92034,1.21947,1.3706,0.75613,0.74424,0.7617,0.23068,2.31959,1.21707,1.58373,8.23663e-05,1.95917e-05,1.95917e-05
4,996.391,1.90757,1.21131,1.36125,0.77997,0.74535,0.76845,0.23762,2.25061,1.19697,1.54278,1.9406e-05,1.9406e-05,1.9406e-05
5,1233.16,1.87075,1.11507,1.32617,0.82056,0.77657,0.80748,0.25785,2.2264,1.14245,1.52714,1.9208e-05,1.9208e-05,1.9208e-05
6,1474.51,1.8471,1.07282,1.32665,0.83676,0.79322,0.82606,0.27423,2.18712,1.12542,1.50705,1.901e-05,1.901e-05,1.901e-05
7,1714.48,1.84376,1.05528,1.32191,0.83535,0.78901,0.8236,0.27911,2.16185,1.14149,1.49485,1.8812e-05,1.8812e-05,1.8812e-05
8,1955.38,1.82361,1.02291,1.30894,0.84942,0.80426,0.84144,0.2983,2.12187,1.09061,1.46797,1.8614e-05,1.8614e-05,1.8614e-05
9,2197.72,1.80184,1.00602,1.30434,0.85564,0.80828,0.85083,0.31504,2.06907,1.08209,1.44511,1.8416e-05,1.8416e-05,1.8416e-05
10,2438.16,1.80654,0.99612,1.30205,0.86129,0.80804,0.8546,0.32258,2.06283,1.0647,1.43541,1.8218e-05,1.8218e-05,1.8218e-05
11,2680.81,1.78399,0.97186,1.29144,0.85914,0.81902,0.86234,0.3333,2.0371,1.04356,1.42066,1.802e-05,1.802e-05,1.802e-05
12,2918.68,1.78096,0.95739,1.28465,0.85425,0.81205,0.85679,0.33181,2.03257,1.06114,1.43006,1.7822e-05,1.7822e-05,1.7822e-05
13,3157.48,1.76487,0.94173,1.2813,0.86634,0.81558,0.86817,0.3445,2.0044,1.05091,1.41499,1.7624e-05,1.7624e-05,1.7624e-05
14,3394.79,1.75972,0.92752,1.26805,0.86761,0.81672,0.87067,0.35292,1.98449,1.02721,1.40321,1.7426e-05,1.7426e-05,1.7426e-05
15,3637.52,1.73916,0.91471,1.26639,0.87147,0.81854,0.8745,0.34644,2.00379,1.03507,1.40949,1.7228e-05,1.7228e-05,1.7228e-05
16,3878.86,1.72706,0.90478,1.26599,0.87765,0.8222,0.87651,0.3463,2.00734,1.01836,1.41289,1.703e-05,1.703e-05,1.703e-05
17,4117.01,1.73036,0.89496,1.2568,0.87802,0.81909,0.8773,0.35918,1.96705,1.0228,1.39279,1.6832e-05,1.6832e-05,1.6832e-05
18,4358.81,1.71365,0.88662,1.26241,0.87861,0.82537,0.88004,0.35534,1.98716,1.00638,1.40273,1.6634e-05,1.6634e-05,1.6634e-05
19,4600.63,1.71891,0.87378,1.25053,0.88263,0.8264,0.87929,0.34665,2.01133,0.9952,1.41048,1.6436e-05,1.6436e-05,1.6436e-05
20,4840.67,1.72111,0.87676,1.24774,0.8794,0.82279,0.87969,0.35046,1.99366,1.00126,1.4008,1.6238e-05,1.6238e-05,1.6238e-05
21,5081.81,1.70496,0.86498,1.24818,0.88556,0.81742,0.88022,0.35561,1.98577,1.00455,1.40497,1.604e-05,1.604e-05,1.604e-05
22,5318.73,1.69793,0.85648,1.23977,0.88262,0.81456,0.87693,0.34209,2.01859,1.01707,1.42038,1.5842e-05,1.5842e-05,1.5842e-05
23,5557.19,1.69968,0.85226,1.24187,0.8874,0.82601,0.88492,0.35459,1.99491,0.99787,1.40553,1.5644e-05,1.5644e-05,1.5644e-05
24,5796.68,1.69796,0.84985,1.23675,0.88598,0.83406,0.89042,0.36848,1.95848,0.96311,1.38264,1.5446e-05,1.5446e-05,1.5446e-05
25,6035.58,1.68261,0.84006,1.23423,0.88149,0.8251,0.88216,0.3491,2.01147,0.9847,1.40948,1.5248e-05,1.5248e-05,1.5248e-05
26,6280.68,1.67622,0.83071,1.23288,0.8852,0.82906,0.8843,0.35366,2.00382,0.95597,1.39699,1.505e-05,1.505e-05,1.505e-05
27,6518.9,1.68395,0.83358,1.22981,0.88461,0.82725,0.88268,0.3468,2.0194,0.96193,1.41402,1.4852e-05,1.4852e-05,1.4852e-05
28,6759.46,1.67407,0.82976,1.23127,0.88316,0.825,0.88029,0.34006,2.03974,0.96549,1.42236,1.4654e-05,1.4654e-05,1.4654e-05
29,6994.55,1.66849,0.81959,1.2169,0.88709,0.82426,0.88631,0.34867,2.01659,0.95433,1.40327,1.4456e-05,1.4456e-05,1.4456e-05
30,7235.75,1.66708,0.81515,1.2252,0.88884,0.82621,0.88364,0.34616,2.02675,0.94007,1.40902,1.4258e-05,1.4258e-05,1.4258e-05
31,7471.38,1.67064,0.81783,1.21814,0.89049,0.82839,0.89076,0.35874,2.00001,0.94878,1.39694,1.406e-05,1.406e-05,1.406e-05
32,7711.05,1.6601,0.81162,1.21905,0.88804,0.82496,0.88756,0.3472,2.03473,0.94147,1.41082,1.3862e-05,1.3862e-05,1.3862e-05
33,7951.1,1.66005,0.80897,1.21982,0.89089,0.83358,0.8917,0.35897,2.00438,0.92706,1.39652,1.3664e-05,1.3664e-05,1.3664e-05
34,8191.99,1.6555,0.80176,1.21685,0.89316,0.83162,0.89269,0.35791,2.00536,0.93252,1.39555,1.3466e-05,1.3466e-05,1.3466e-05
35,8436.66,1.65593,0.80186,1.22169,0.88448,0.83317,0.89646,0.36748,1.98607,0.92121,1.38137,1.3268e-05,1.3268e-05,1.3268e-05
36,8677.22,1.64504,0.79709,1.21689,0.8883,0.82723,0.89254,0.35484,2.01378,0.92684,1.39478,1.307e-05,1.307e-05,1.307e-05
37,8917.33,1.64455,0.79234,1.21371,0.89373,0.8348,0.89314,0.3504,2.02698,0.92341,1.40202,1.2872e-05,1.2872e-05,1.2872e-05
38,9160.27,1.64253,0.79274,1.21724,0.89346,0.83756,0.89915,0.36336,1.99113,0.91767,1.38205,1.2674e-05,1.2674e-05,1.2674e-05
39,9396.66,1.64317,0.79028,1.20617,0.89205,0.8466,0.90243,0.37539,1.95721,0.91599,1.36669,1.2476e-05,1.2476e-05,1.2476e-05
40,9643.01,1.63801,0.78787,1.21411,0.89493,0.84153,0.8999,0.36665,1.97901,0.92326,1.37761,1.2278e-05,1.2278e-05,1.2278e-05
41,9880.46,1.63566,0.78114,1.20202,0.89596,0.84259,0.8987,0.35916,2.00045,0.92496,1.38474,1.208e-05,1.208e-05,1.208e-05
42,10121.5,1.62933,0.78258,1.20517,0.89498,0.84285,0.90063,0.36612,1.98658,0.92359,1.37725,1.1882e-05,1.1882e-05,1.1882e-05
