epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.119,2.075,1.7555,1.47189,0.47658,0.49078,0.42857,0.14392,2.53447,1.99854,1.77463,0.0671564,0.000331754,0.000331754
2,281.495,2.02474,1.53209,1.42905,0.43595,0.50738,0.37459,0.13367,2.31312,2.14369,1.67089,0.0341498,0.000658503,0.000658503
3,415.883,1.95913,1.33058,1.40241,0.4007,0.41584,0.36331,0.14485,2.25848,1.8835,1.61157,0.00113663,0.000978652,0.000978652
4,545.503,2.07429,1.37682,1.48063,0.64185,0.49268,0.58318,0.24455,2.22708,1.59274,1.55141,0.0009703,0.0009703,0.0009703
5,679.278,1.95841,1.27162,1.3935,0.56166,0.57418,0.54061,0.21762,2.06962,1.64975,1.51334,0.0009604,0.0009604,0.0009604
6,812.289,1.93224,1.2281,1.40002,0.54187,0.51109,0.48146,0.17627,2.33286,1.78008,1.58205,0.0009505,0.0009505,0.0009505
7,947.632,1.9657,1.1826,1.39668,0.57965,0.60009,0.5542,0.21106,2.21502,1.9544,1.58558,0.0009406,0.0009406,0.0009406
8,1076.34,2.03069,1.25728,1.41399,0.46325,0.42101,0.41152,0.1682,2.44443,1.78036,1.64754,0.0009307,0.0009307,0.0009307
9,1205.68,2.009,1.20572,1.40954,0.61955,0.5329,0.57234,0.2361,2.08643,1.49361,1.48263,0.0009208,0.0009208,0.0009208
10,1345.32,2.01807,1.21105,1.45143,0.47635,0.54919,0.43841,0.16626,2.21785,1.87839,1.61245,0.0009109,0.0009109,0.0009109
11,1475.24,2.00683,1.1897,1.40493,0.68906,0.6276,0.63739,0.25688,2.18353,1.48896,1.54711,0.000901,0.000901,0.000901
12,1604.91,2.05786,1.24585,1.41148,0.46666,0.4925,0.41976,0.16958,2.18427,1.68348,1.53995,0.0008911,0.0008911,0.0008911
13,1736.78,1.98964,1.1847,1.40091,0.40165,0.47722,0.37347,0.14646,2.29,2.45187,1.6226,0.0008812,0.0008812,0.0008812
